ISO6393	Status	Pop.Size	simp.status
bdy	"Severely Endangered (40 percent certain, based on the evidence available)"	NA	severely_endangered
bgf	"Threatened (20 percent certain, based on the evidence available)"	"2,700"	threatened
gbm-ban	"Vulnerable (20 percent certain, based on the evidence available)"	"12,000"	vulnerable
dba	"Threatened (20 percent certain, based on the evidence available)"	1200	threatened
mfb	"Critically Endangered (40 percent certain, based on the evidence available)"	50	critically_endangered
bwi	"Threatened (20 percent certain, based on the evidence available)"	">9,554?"	threatened
bxw	"Threatened (20 percent certain, based on the evidence available)"	"6,000"	threatened
dbw	"Threatened (20 percent certain, based on the evidence available)"	"1,320"	threatened
abb	"Vulnerable (20 percent certain, based on the evidence available)"	"12,000"	vulnerable
bap	"Threatened (100 percent certain, based on the evidence available)"	"371,056"	threatened
bao	"Endangered (20 percent certain, based on the evidence available)"	130	endangered
tat-bar	"Critically Endangered (40 percent certain, based on the evidence available)"	"<8,000"	critically_endangered
rbp	"Critically Endangered (20 percent certain, based on the evidence available)"	5	critically_endangered
"bva; bare1279, saka1296"	"Threatened (20 percent certain, based on the evidence available)"	"5,000"	threatened
brd	"Critically Endangered (80 percent certain, based on the evidence available)"	53	critically_endangered
brm	"Vulnerable (20 percent certain, based on the evidence available)"	"25,600"	vulnerable
brs; bara1371	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
bsn	"Threatened (20 percent certain, based on the evidence available)"	"1,924"	threatened
boi	Awakening ()		awakening
bcj	"Critically Endangered (20 percent certain, based on the evidence available)"	<5	critically_endangered
bae			
mot	"Vulnerable (80 percent certain, based on the evidence available)"	"4,000"	vulnerable
bxo		NA	
bjb	Awakening ()		awakening
bbi	"Threatened (20 percent certain, based on the evidence available)"	"~3,000"	threatened
bpt	"Critically Endangered (20 percent certain, based on the evidence available)"	1	critically_endangered
sgh-bar	"Vulnerable (100 percent certain, based on the evidence available)"	"2,425"	vulnerable
bsg	"Threatened (20 percent certain, based on the evidence available)"	"7,030"	threatened
bst	"Vulnerable (20 percent certain, based on the evidence available)"	"~60,000"	vulnerable
bsr	"Critically Endangered (20 percent certain, based on the evidence available)"	10	critically_endangered
bsc	"Vulnerable (20 percent certain, based on the evidence available)"	10000	vulnerable
ayt	"Endangered (40 percent certain, based on the evidence available)"	527	endangered
bya	"Endangered (20 percent certain, based on the evidence available)"	~200	endangered
btx		"570,000"	
btq	"Endangered (20 percent certain, based on the evidence available)"	~960	endangered
btv	"Vulnerable (40 percent certain, based on the evidence available)"	"29,051 (Worldwide)"	vulnerable
bhm	"Severely Endangered (20 percent certain, based on the evidence available)"	<100	severely_endangered
btc	"Endangered (20 percent certain, based on the evidence available)"	800	endangered
bvt	"Threatened (20 percent certain, based on the evidence available)"	"3,500"	threatened
wdj	"Severely Endangered (20 percent certain, based on the evidence available)"	<12	severely_endangered
bbl	"Severely Endangered (80 percent certain, based on the evidence available)"	800	severely_endangered
bata1295	"Severely Endangered (100 percent certain, based on the evidence available)"	~150	severely_endangered
xby	Awakening ()		awakening
brg	"Critically Endangered (80 percent certain, based on the evidence available)"	20	critically_endangered
bgr	"Vulnerable (80 percent certain, based on the evidence available)"	NA	vulnerable
byg	Dormant 	0	dormant
byl	"Vulnerable (60 percent certain, based on the evidence available)"	~100	vulnerable
bda	"Vulnerable (20 percent certain, based on the evidence available)"	"17,150"	vulnerable
bsw	"Threatened (20 percent certain, based on the evidence available)"	"~3,200"	threatened
scs-bea	"Endangered (80 percent certain, based on the evidence available)"	580	endangered
bek	"Severely Endangered (100 percent certain, based on the evidence available)"	780	severely_endangered
bed; bedo1237	"Endangered (20 percent certain, based on the evidence available)"	180	endangered
bkf	"Endangered (20 percent certain, based on the evidence available)"	"<1,000"	endangered
bnz			
bep; beso1237	"Endangered (100 percent certain, based on the evidence available)"	"6,000"	endangered
beg	"Severely Endangered (100 percent certain, based on the evidence available)"	700	severely_endangered
bxb	"Threatened (20 percent certain, based on the evidence available)"	"8,000"	threatened
bxq	"Endangered (20 percent certain, based on the evidence available)"	120	endangered
